變異點編號,權責單位,查證結果,變異類型,latitude,longitude
AF3010802006,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.24777,121.50859
AF3110804035,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.27344,121.57831
AF3110801119,新北市,違規,其他開挖整地,25.25848,121.58871
AF2510814046,新北市,合法,治山防災工程,25.21257,121.59148
AF2510802103,新北市,合法,其他,25.23867,121.60087
AF2510802099,新北市,合法,休閒農業開發案件,25.22515,121.60576
AF2510802111,新北市,違規,整坡作業,25.20390,121.62237
AF2610802051,新北市,合法,其他,25.20178,121.63597
AF2810815021,新北市,合法,其他,25.05412,121.66017
21110804009,臺北水源特定區管理局,違規,其他,24.91152,121.68034
21110802006,臺北水源特定區管理局,合法,種植,24.92876,121.68485
21110814014,臺北水源特定區管理局,合法,種植,24.91415,121.69799
21110804001,臺北水源特定區管理局,合法,種植,24.95090,121.72529
21110804002,臺北水源特定區管理局,合法,整地,24.95180,121.72998
21110814003,臺北水源特定區管理局,合法,整地,24.96803,121.74080
21110814016,臺北水源特定區管理局,合法,種植,24.89611,121.74631
AF2210802070,新北市,合法,其他,25.05592,121.78906
AF2310813102,新北市,合法,其他,25.01070,121.81023
AF2310805024,新北市,合法,其他,25.02442,121.82624
AF2310814050,新北市,合法,其他,25.02794,121.83133
AF2310803023,新北市,合法,其他,25.05276,121.86685
AF0210806015,新北市,合法,其他,25.11649,121.28924
AF0210802081,新北市,合法,自然裸露地,25.09222,121.33883
AF1510801019,新北市,合法,其他,24.91631,121.34655
AF1610813085,新北市,違規,堆積土石,24.97639,121.35092
AF1610801088,新北市,違規,其他開挖整地,24.97286,121.35709
AF0210801076,新北市,違規,堆積土石,25.13551,121.36449
AF3210805008,新北市,違規,堆積土石,25.14194,121.40251
F1710801003,新北市,違規,傾倒廢棄物、土,24.95096,121.40385
AF0310805009,新北市,合法,其他,25.10175,121.42839
80110801083,新北市,合法,新增建物,24.94894,121.44815
AF2710815047,新北市,合法,其他,25.23367,121.48182
AF3010815003,新北市,違規,違規農業使用,25.23928,121.48411
AF0710802096,新北市,合法,非農業核准開發案件,24.94472,121.48687
21110806001,臺北水源特定區管理局,違規,其他,24.77791,121.48932
AF3010802001,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.24682,121.50058
21110813002,臺北水源特定區管理局,合法,其他,24.92514,121.50946
10110802002,陽明山,合法,作物變化,25.21114,121.58832
AF2510802101,新北市,合法,其他,25.23980,121.59354
31110803004,羅東林區管理處,合法,整地,24.94896,121.60344
AF0910813108,新北市,合法,其他,24.99454,121.60449
AF2510802107,新北市,合法,其他,25.24138,121.60634
AF3110814066,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.26883,121.60834
AF0910813111,新北市,違規,其他開挖整地,25.01420,121.64057
AF2610805005,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.17158,121.64234
AF2810813046,新北市,違規,其他開挖整地,25.10614,121.64419
AF2610813032,新北市,合法,其他,25.16354,121.64806
AF2610813030,新北市,違規,整坡作業,25.16824,121.65106
AF2810815022,新北市,合法,其他,25.05379,121.65858
21110815009,臺北水源特定區管理局,合法,整地,24.92911,121.68260
AF2310802114,新北市,合法,其他,25.06408,121.83154
AF2110814017,新北市,違規,違規農業使用,25.11749,121.83407
AF2310805025,新北市,合法,其他,25.02294,121.87678
AF2410813079,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.00753,121.89068
AF2410814033,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.05884,121.90873
AF0210803013,新北市,合法,自然裸露地,25.10622,121.34066
AF0210814026,新北市,合法,其他,25.09166,121.36109
AF1510801028,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.86511,121.36521
AF0210814025,新北市,合法,其他,25.08933,121.36747
AF0210804028,新北市,合法,其他,25.08559,121.36983
AF1510815005,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.92985,121.39549
AF3210806011,新北市,合法,其他,25.09060,121.39897
AF0310802078,新北市,違規,其他開挖整地,25.07929,121.42354
F1910804002,新北市,合法,整地,24.99094,121.47233
AF2710815048,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.18484,121.47564
AF2710814059,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.17770,121.47650
F1810806002,新北市,違規,整地,24.98551,121.48136
AF3010814004,新北市,合法,其他,25.20236,121.49076
AF2710802120,新北市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.22164,121.49809
21110802007,臺北水源特定區管理局,合法,種植,24.91106,121.51274
AF0710803015,新北市,合法,非農業核准開發案件,24.95611,121.52565
