變異點編號,權責單位,查證結果,變異類型,latitude,longitude
20811202002,第八河川局,已知工程,工程施作,23.04750,121.19390
V1011201026,臺東縣,合法,作物變化,23.12036,121.19896
AV1011202012,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.09498,121.23306
AV0211201009,臺東縣,違規,違規農業使用,23.00162,121.31347
AV1511201065,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.56812,120.95199
AV0611201012,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.65506,120.98086
AV1011202013,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.03638,121.19577
AV0211201004,臺東縣,違規,違規農業使用,23.11250,121.36351
AV1511201058,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.63684,120.95151
AV0611201016,臺東縣,合法,無道路可到達,22.50126,120.95325
AV1511202023,臺東縣,違規,未依核定計畫施工,22.63300,120.97010
AV0611202004,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.68445,120.99964
V0411201016,臺東縣,違規,傾倒廢棄物、土,22.78245,121.08764
AV1211202027,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.91457,121.10237
AV1311201053,臺東縣,違規,未依核定計畫施工,23.08694,121.16854
209112023001,第九河川局,合法,其他,23.16481,121.18259
20911201002,第九河川局,合法,其他,23.15776,121.19284
AV0711201042,臺東縣,合法,其他,23.01655,121.28608
37411201001,臺東林區管理處,合法,新增建物,23.09681,121.30142
AV1411201028,臺東縣,合法,其他,22.30826,120.83357
AV0511202002,臺東縣,違規,違規農業使用,22.34129,120.87881
AV1511201062,臺東縣,合法,治山防災工程,22.59335,120.94200
V0611201005,臺東縣,違規,新增建物,22.53187,120.94301
AV0411201024,臺東縣,違規,整坡作業,22.80425,121.05417
AV1311201044,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.99776,121.11711
V0111203006,臺東縣,違規,其他,22.73861,121.12836
20811201003,第八河川局,已知工程,工程施作,22.85563,121.13625
208112013005,第八河川局,不屬於其管轄範圍,其他,22.92299,121.14647
20811202003,第八河川局,不屬於其管轄範圍,其他,23.06476,121.17208
37111203001,臺東林區管理處,合法,整地,22.90825,121.18065
208112013002,第八河川局,合法,整地,23.06532,121.20698
AV0211201003,臺東縣,違規,違規農業使用,23.12544,121.38518
AV0211201002,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.13316,121.39223
V1111203001,臺東縣,合法,其他,22.67452,121.47865
AV0511201011,臺東縣,合法,治山防災工程,22.34867,120.89124
V0111201020,臺東縣,合法,其他,22.76896,121.07780
208112013001,第八河川局,已知工程,工程施作,22.96678,121.16583
209112023007,第九河川局,不屬於其管轄範圍,其他,23.16514,121.18245
21511201054,臺東縣,合法,其他,23.11577,121.19059
V0711201013,臺東縣,合法,新增建物,22.88708,121.23458
V0711201032,臺東縣,合法,其他,22.91779,121.26133
